1,"Where they reside on your network, how they interact, and improving Penetration (Pen) Testing services is key to having a strong defensive perimeter for your organization"
2,"IDS network security and IPS security, along with Firewall leveraging, can help provide this.
   Cyberinfrastructures using prevention platforms require both regularly scheduled performance assessments and changing topology, etc"
3,Most industry-standard institutes recommend even more frequent assessments
4,It is advised to change your current devices around at a certain frequent level
5,"If they are always static, on-going cybercriminals learn how they always sit on your perimeter and eventually hack them after long periods in scanning for weaknesses.
   When performing pentest against your own networks, basically, you are evading your own security systems"
6,We usually refer to these self-targeted evading activities as ethical hacking and perform the pentesting as ‘white- hats’
7,Pentesting helps understand the danger of real attackers
8,"If you can sneak around a blocked portmapper port using Nmap direct RPC scanning, then so can the bad guys"
9,It is easy to make a mistake in configuring complex firewalls and other devices
10,Many of them even come with glaring security holes that conscientious users must find and close
11,"Regular network scanning can help find dangerous implicit rules before attackers do.
   There are good reasons for evading IDSs as well"
12,Product evaluation is one of the most common
13,"If attackers can slide under the radar by simply adding an Nmap flag or two, the system does not offer much protection"
14,Pentesting tools such as Nmap and Metasploit offer many features for evading firewall rules or sneaking past IDSs
15,These capabilities allow ‘bad guys’ to misuse it for ‘evil’ purposes
16,"However, from the administrator perspectives, mimicking attackers’ behaviors and actions (maybe the best that they can do) to identify security holes before attackers do"
17,This lab is by-no-mean the utterly and eagerly promoting Nmap and Metasploit
18,"It simply introduces the beginning level of cyber defenders to start their network security endeavors in the area of penetration testing, since we know pentesting represents the art of cybersecurity with full of creativities
and deep understanding of the given security system.

2 Pentest Goal, Setup, and Procedure
2.1 Goals
The goal of this pentest is to assess the firewall rule setup and IDS system"
19,"In this pentest, we apply the white-box testing strategy, in which a white-box tester has the access and knowledge levels of the system admin, including the knowledge of iptables firewall rules and snort rules setup"
20,"However, there are several constraints apply:

1"
21,"Goal: The goal of the pentest is to explore the configuration issues of iptables and snort, i.e., identify the system weakness due to configuration flaws"
22,"This means that the pen tester knows the iptables and snort configurations, and networking system setup"
23,"During the pen test, the pen tester can monitor the actions/reactions/output of iptables and snort"
24,"The pen tester tries to explore vulnerabilities focusing on two areas:
(a) System configurations: firewall setup such as open/close/filter/unfilter ports, reachable services or nodes, firewall performance measurements, etc.; IDS setup such as detection threshold setup, success, and missed attack scenarios, etc.
(b) Vulnerabilities: There is one Metasploitable-2 VM running behind the firewall"
25,"The pen tester is required to assess the security performance of the firewall and IDS on successfully stop and/or detect deployed attacks.
2"
26,"Location: The pen tester explores the configuration vulnerabilities from outside, i.e., on the client network.
3"
27,"Assessment: The pen tester needs to develop a pentest report based on the provided template, and provide suggested changes or remediation of firewall and IDS rules to maximally improve the system security"
28,Note that the Metasploitable 2 is used for assessing the firewall and IDS
29,Note that your pentest focus is to inspect and assess the security strength of the firewall and IDS
30,"Please do not try to resolve any vulnerable issues running on Metasploitable 2, which is purposely designed for pentesting.
4"
31,"Tools: The pen tester can use various tools provided in the given client VM such as Nmap, hping3, MSF (Metasploit framework), tcpdump, etc"
32,It should be sufficient to use these tools for this lab
